,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving) (c),Total ever served(d),Has never served in the Australian Defence Force,Not stated,Total,,,,,,,,,,,,,,,
,FEMALES,,,,,,,,,,,,,,,,,,,,,
15-19 years,796,98,203,1093,668719,38664,708485,,,,,,,,,,,,,,,
20-24 years,3024,409,1033,4459,724172,44081,772711,,,,,,,,,,,,,,,
25-29 years,2636,620,1715,4966,824737,55130,884837,,,,,,,,,,,,,,,
30-34 years,2036,619,2600,5254,890000,53439,948691,,,,,,,,,,,,,,,
35-39 years,1479,646,3096,5223,882302,49604,937130,,,,,,,,,,,,,,,
40-44 years,973,559,4487,6016,787757,40662,834435,,,,,,,,,,,,,,,
45-49 years,779,556,5846,7177,787321,38944,833442,,,,,,,,,,,,,,,
50-54 years,658,515,8440,9617,777925,36231,823781,,,,,,,,,,,,,,,
55-59 years,281,389,8183,8859,744284,34532,787674,,,,,,,,,,,,,,,
60-64 years,140,269,8305,8714,716104,32125,756943,,,,,,,,,,,,,,,
65-69 years,..,..,6817,6817,635307,30437,672561,,,,,,,,,,,,,,,
70-74 years,..,..,5765,5765,562819,30905,599493,,,,,,,,,,,,,,,
75-79 years,..,..,3620,3620,397660,28003,429281,,,,,,,,,,,,,,,
80-84 years,..,..,2332,2332,271860,27932,302129,,,,,,,,,,,,,,,
85 years and over,..,..,4194,4194,278885,48826,331903,,,,,,,,,,,,,,,
Total,12791,4683,66639,84108,9949853,589523,10623484,,,,,,,,,,,,,,,
