,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving)(c),Has never served in the Australian Defence Force,Not stated,Total,
"Agriculture, Forestry and Fishing",56,207,6061,274896,1007,282227,
Mining,101,465,8242,205332,631,214759,
Manufacturing,212,928,13795,698523,1291,714759,
"Electricity, Gas, Water and Waste Services",26,215,3992,129889,252,134368,
Construction,257,1105,17709,1046069,2501,1067645,
Wholesale Trade,48,266,5802,305306,436,311863,
Retail Trade,160,567,9849,1086811,2223,1099617,
Accommodation and Food Services,190,317,4475,776890,1854,783737,
"Transport, Postal and Warehousing",244,896,16703,527230,1285,546364,
Information Media and Telecommunications,39,214,2657,163737,223,166872,
Financial and Insurance Services,50,384,5182,438884,622,445121,
"Rental, Hiring and Real Estate Services",21,124,3163,184017,296,187621,
"Professional, Scientific and Technical Services",307,2314,17202,924074,1184,945094,
Administrative and Support Services,141,253,5609,381517,909,388432,
Public Administration and Safety,54803,9224,34084,697683,1239,797031,
Education and Training,280,1075,13250,1045214,1507,1061320,
Health Care and Social Assistance,471,2155,21411,1724464,3224,1751717,
Arts and Recreation Services,25,217,2373,185558,309,188479,
Other Services,147,416,6285,427731,869,435459,
Inadequately described,341,382,6027,359145,4046,369939,
Not stated,587,174,1917,135559,18761,156996,
Total,58512,21908,205787,11718545,44669,12049410,
