Sex,Category,Currently serving in the regular service,Currently serving in the reserves service,Previously served (and not currently serving),Has never served in the Australian Defence Force,Not stated,Total
Males,New South Wales,14108,5323,112752,2891090,205314,3228581
Males,Victoria,5399,3308,83121,2358311,150153,2600300
Males,Queensland,13498,5046,119571,1754961,151288,2044361
Males,South Australia,3235,1629,36229,644361,37558,723017
Males,Western Australia,3541,1964,47380,927598,82375,1062852
Males,Tasmania,223,531,14787,197721,12985,226250
Males,Northern Territory,3053,425,4234,73332,11252,92299
Males,Australian Capital Territory,4421,1658,11491,155478,8525,181575
Males,Total(e),47495,19896,429637,9004300,659976,10161299
Females,New South Wales,3900,1184,14905,3159540,194034,3373575
Females,Victoria,1466,660,11275,2578061,142276,2733735
Females,Queensland,3305,1291,20403,1992327,130132,2147455
Females,South Australia,703,419,5631,715269,33337,755362
Females,Western Australia,953,445,8135,1020715,61142,1091391
Females,Tasmania,70,137,2725,223408,12344,238684
Females,Northern Territory,817,120,879,81197,8391,91409
Females,Australian Capital Territory,1554,423,2673,177745,7581,189986
Females,Total(e),12791,4683,66639,9949853,589523,10623484
Persons,New South Wales,18007,6506,127657,6050636,399351,6602157
Persons,Victoria,6866,3973,94393,4936372,292432,5334032
Persons,Queensland,16803,6339,139973,3747281,281419,4191812
Persons,South Australia,3940,2053,41861,1359631,70896,1478375
Persons,Western Australia,4496,2413,55507,1948313,143513,2154244
Persons,Tasmania,290,670,17515,421126,25336,464930
Persons,Northern Territory,3874,547,5110,154529,19641,183704
Persons,Australian Capital Territory,5977,2084,14164,333222,16111,371559
Persons,Total(e),60286,24581,496276,18954152,1249493,20784787
